block	treatment	yield
block1	TAL102	9.66
block1	TAL379	9.36
block1	TAL206	8.41
block1	TAL435	8.61
block1	TAL411	9.20
block1	ALLEN527	8.11
block1	TAL211	8.83
block1	TAL487	6.27
block1	CB1795	6.79
block1	TAL650	6.95
block1	TAL649	6.55
block1	TAL860	6.00
block1	TAL183	6.11
block1	TAL378	5.39
block1	CONTROL1	1.53
block1	CONTROL2	6.41
block2	TAL102	10.60
block2	TAL379	9.00
block2	TAL206	9.44
block2	TAL435	9.23
block2	TAL411	8.19
block2	ALLEN527	8.82
block2	TAL211	6.32
block2	TAL487	8.67
block2	CB1795	8.17
block2	TAL650	5.83
block2	TAL649	4.82
block2	TAL860	4.83
block2	TAL183	3.46
block2	TAL378	4.46
block2	CONTROL1	1.30
block2	CONTROL2	7.83
block3	TAL102	10.83
block3	TAL379	10.49
block3	TAL206	10.19
block3	TAL435	8.22
block3	TAL411	8.46
block3	ALLEN527	8.62
block3	TAL211	9.14
block3	TAL487	8.35
block3	CB1795	5.70
block3	TAL650	6.83
block3	TAL649	8.10
block3	TAL860	6.54
block3	TAL183	5.51
block3	TAL378	5.07
block3	CONTROL1	1.80
block3	CONTROL2	5.83
